No,day,month,latitude,longitude,bus_id,seconds,No
43,04,03,13.192839622497559,80.18405151367188,45223920314,6,43
113,04,03,13.192839622497559,80.18405151367188,45223920314,16,113
182,04,03,13.192839622497559,80.18405151367188,45223920314,26,182
257,04,03,13.192839622497559,80.18405151367188,45223920314,36,257
323,04,03,13.192839622497559,80.18405151367188,45223920314,46,323
397,04,03,13.192839622497559,80.18405151367188,45223920314,56,397
467,04,03,13.192839622497559,80.18405151367188,45223920314,66,467
538,04,03,13.192839622497559,80.18405151367188,45223920314,77,538
614,04,03,13.192839622497559,80.18405151367188,45223920314,87,614
680,04,03,13.192839622497559,80.18405151367188,45223920314,97,680
757,04,03,13.192839622497559,80.18405151367188,45223920314,107,757
821,04,03,13.192839622497559,80.18405151367188,45223920314,117,821
897,04,03,13.192839622497559,80.18405151367188,45223920314,127,897
971,04,03,13.192839622497559,80.18405151367188,45223920314,137,971
1036,04,03,13.192839622497559,80.18405151367188,45223920314,147,1036
1106,04,03,13.192839622497559,80.18405151367188,45223920314,157,1106
1183,04,03,13.192839622497559,80.18405151367188,45223920314,167,1183
1251,04,03,13.192839622497559,80.18405151367188,45223920314,177,1251
1332,04,03,13.192839622497559,80.18405151367188,45223920314,188,1332
1397,04,03,13.192839622497559,80.18405151367188,45223920314,198,1397
1475,04,03,13.192839622497559,80.18405151367188,45223920314,208,1475
1543,04,03,13.192839622497559,80.18405151367188,45223920314,218,1543
1616,04,03,13.192839622497559,80.18405151367188,45223920314,228,1616
1684,04,03,13.192839622497559,80.18405151367188,45223920314,238,1684
1754,04,03,13.192839622497559,80.18405151367188,45223920314,248,1754
1828,04,03,13.192839622497559,80.18405151367188,45223920314,258,1828
1899,04,03,13.192839622497559,80.18405151367188,45223920314,268,1899
1969,04,03,13.192839622497559,80.18405151367188,45223920314,278,1969
2039,04,03,13.192839622497559,80.18405151367188,45223920314,288,2039
2119,04,03,13.192839622497559,80.18405151367188,45223920314,299,2119
2167,04,03,13.192839622497559,80.18405151367188,45223920314,339,2167
2236,04,03,13.192839622497559,80.18405151367188,45223920314,349,2236
2307,04,03,13.192839622497559,80.18405151367188,45223920314,359,2307
2381,04,03,13.192839622497559,80.18405151367188,45223920314,369,2381
2447,04,03,13.192839622497559,80.18405151367188,45223920314,379,2447
2518,04,03,13.192839622497559,80.18405151367188,45223920314,389,2518
2594,04,03,13.192839622497559,80.18405151367188,45223920314,400,2594
2667,04,03,13.192839622497559,80.18405151367188,45223920314,410,2667
2739,04,03,13.192839622497559,80.18405151367188,45223920314,420,2739
2803,04,03,13.192839622497559,80.18405151367188,45223920314,430,2803
2870,04,03,13.192839622497559,80.18405151367188,45223920314,440,2870
2940,04,03,13.192839622497559,80.18405151367188,45223920314,450,2940
3015,04,03,13.192839622497559,80.18405151367188,45223920314,460,3015
3084,04,03,13.192839622497559,80.18405151367188,45223920314,470,3084
3151,04,03,13.192839622497559,80.18405151367188,45223920314,480,3151
3225,04,03,13.192839622497559,80.18405151367188,45223920314,490,3225
3290,04,03,13.192839622497559,80.18405151367188,45223920314,500,3290
3369,04,03,13.192839622497559,80.18405151367188,45223920314,511,3369
3438,04,03,13.192839622497559,80.18405151367188,45223920314,521,3438
3509,04,03,13.192839622497559,80.18405151367188,45223920314,531,3509
3584,04,03,13.192839622497559,80.18405151367188,45223920314,541,3584
3652,04,03,13.192839622497559,80.18405151367188,45223920314,551,3652
3720,04,03,13.192839622497559,80.18405151367188,45223920314,561,3720
3789,04,03,13.192839622497559,80.18405151367188,45223920314,571,3789
3860,04,03,13.192839622497559,80.18405151367188,45223920314,581,3860
3932,04,03,13.192839622497559,80.18405151367188,45223920314,591,3932
4001,04,03,13.192839622497559,80.18405151367188,45223920314,601,4001
4074,04,03,13.192839622497559,80.18405151367188,45223920314,611,4074
4154,04,03,13.192839622497559,80.18405151367188,45223920314,622,4154
4217,04,03,13.192839622497559,80.18405151367188,45223920314,632,4217
4292,04,03,13.192839622497559,80.18405151367188,45223920314,642,4292
4358,04,03,13.192839622497559,80.18405151367188,45223920314,652,4358
4431,04,03,13.192839622497559,80.18405151367188,45223920314,662,4431
4503,04,03,13.192839622497559,80.18405151367188,45223920314,672,4503
4568,04,03,13.192839622497559,80.18405151367188,45223920314,682,4568
4641,04,03,13.192839622497559,80.18405151367188,45223920314,692,4641
4709,04,03,13.192839622497559,80.18405151367188,45223920314,702,4709
4783,04,03,13.192839622497559,80.18405151367188,45223920314,712,4783
4852,04,03,13.192839622497559,80.18405151367188,45223920314,722,4852
4929,04,03,13.192839622497559,80.18405151367188,45223920314,733,4929
5002,04,03,13.192839622497559,80.18405151367188,45223920314,743,5002
5071,04,03,13.192839622497559,80.18405151367188,45223920314,753,5071
5135,04,03,13.192839622497559,80.18405151367188,45223920314,763,5135
5207,04,03,13.192839622497559,80.18405151367188,45223920314,773,5207
5284,04,03,13.192839622497559,80.18405151367188,45223920314,783,5284
5348,04,03,13.192839622497559,80.18405151367188,45223920314,793,5348
5421,04,03,13.192839622497559,80.18405151367188,45223920314,803,5421
5491,04,03,13.192839622497559,80.18405151367188,45223920314,813,5491
5562,04,03,13.192839622497559,80.18405151367188,45223920314,823,5562
5633,04,03,13.192839622497559,80.18405151367188,45223920314,833,5633
5713,04,03,13.192839622497559,80.18405151367188,45223920314,844,5713
5774,04,03,13.192839622497559,80.18405151367188,45223920314,854,5774
5848,04,03,13.192839622497559,80.18405151367188,45223920314,864,5848
5919,04,03,13.192839622497559,80.18405151367188,45223920314,874,5919
