No,day,month,latitude,longitude,bus_id,seconds,No
47,04,03,13.05016040802002,80.20722961425781,45214920574,6,47
117,04,03,13.05016040802002,80.20722961425781,45214920574,16,117
192,04,03,13.05016040802002,80.20722961425781,45214920574,27,192
263,04,03,13.05016040802002,80.20722961425781,45214920574,37,263
331,04,03,13.05016040802002,80.20722961425781,45214920574,47,331
401,04,03,13.05016040802002,80.20722961425781,45214920574,57,401
472,04,03,13.05016040802002,80.20722961425781,45214920574,67,472
541,04,03,13.05016040802002,80.20722961425781,45214920574,77,541
610,04,03,13.05016040802002,80.20722961425781,45214920574,87,610
683,04,03,13.05016040802002,80.20722961425781,45214920574,97,683
753,04,03,13.05016040802002,80.20722961425781,45214920574,107,753
826,04,03,13.05016040802002,80.20722961425781,45214920574,117,826
894,04,03,13.05016040802002,80.20722961425781,45214920574,127,894
978,04,03,13.05016040802002,80.20722961425781,45214920574,138,978
1049,04,03,13.05016040802002,80.20722961425781,45214920574,148,1049
1123,04,03,13.05016040802002,80.20722961425781,45214920574,158,1123
1188,04,03,13.05016040802002,80.20722961425781,45214920574,168,1188
1258,04,03,13.05016040802002,80.20722961425781,45214920574,178,1258
1328,04,03,13.05016040802002,80.20722961425781,45214920574,188,1328
1401,04,03,13.05016040802002,80.20722961425781,45214920574,198,1401
1471,04,03,13.05016040802002,80.20722961425781,45214920574,208,1471
1546,04,03,13.05016040802002,80.20722961425781,45214920574,218,1546
1614,04,03,13.05016040802002,80.20722961425781,45214920574,228,1614
1686,04,03,13.05016040802002,80.20722961425781,45214920574,238,1686
1764,04,03,13.05016040802002,80.20722961425781,45214920574,249,1764
1836,04,03,13.05016040802002,80.20722961425781,45214920574,259,1836
1902,04,03,13.05016040802002,80.20722961425781,45214920574,269,1902
1975,04,03,13.05016040802002,80.20722961425781,45214920574,279,1975
2045,04,03,13.05016040802002,80.20722961425781,45214920574,289,2045
2114,04,03,13.05016040802002,80.20722961425781,45214920574,299,2114
2172,04,03,13.05016040802002,80.20722961425781,45214920574,339,2172
2242,04,03,13.05016040802002,80.20722961425781,45214920574,349,2242
2317,04,03,13.05016040802002,80.20722961425781,45214920574,360,2317
2385,04,03,13.05016040802002,80.20722961425781,45214920574,370,2385
2455,04,03,13.05016040802002,80.20722961425781,45214920574,380,2455
2525,04,03,13.05016040802002,80.20722961425781,45214920574,390,2525
2601,04,03,13.05016040802002,80.20722961425781,45214920574,400,2601
2670,04,03,13.05016040802002,80.20722961425781,45214920574,410,2670
2734,04,03,13.05016040802002,80.20722961425781,45214920574,420,2734
2805,04,03,13.05016040802002,80.20722961425781,45214920574,430,2805
2877,04,03,13.05016040802002,80.20722961425781,45214920574,440,2877
2945,04,03,13.05016040802002,80.20722961425781,45214920574,450,2945
3014,04,03,13.05016040802002,80.20722961425781,45214920574,460,3014
3082,04,03,13.05016040802002,80.20722961425781,45214920574,470,3082
3157,04,03,13.05016040802002,80.20722961425781,45214920574,481,3157
3227,04,03,13.05016040802002,80.20722961425781,45214920574,491,3227
3303,04,03,13.05016040802002,80.20722961425781,45214920574,501,3303
3367,04,03,13.05016040802002,80.20722961425781,45214920574,511,3367
3440,04,03,13.05016040802002,80.20722961425781,45214920574,521,3440
3511,04,03,13.05016040802002,80.20722961425781,45214920574,531,3511
3579,04,03,13.05016040802002,80.20722961425781,45214920574,541,3579
3648,04,03,13.05016040802002,80.20722961425781,45214920574,551,3648
