No,day,month,latitude,longitude,bus_id,seconds,No
,,,,,,,
110284,4,3,0,0,45224220493,16090,110284
110369,4,3,0,0,45224220493,16101,110369
110437,4,3,0,0,45224220493,16111,110437
110498,4,3,13.03326988,80.23020172,45224220493,16121,110498
110570,4,3,13.03320026,80.23013306,45224220493,16131,110570
110634,4,3,13.03320026,80.23014832,45224220493,16141,110634
110698,4,3,13.03320026,80.2301712,45224220493,16151,110698
110762,4,3,13.0332098,80.23017883,45224220493,16160,110762
110834,4,3,13.03322029,80.23018646,45224220493,16171,110834
110899,4,3,13.0332098,80.23018646,45224220493,16181,110899
110960,4,3,13.03314972,80.23020172,45224220493,16191,110960
111036,4,3,13.03310013,80.23020172,45224220493,16202,111036
111109,4,3,13.03308964,80.23018646,45224220493,16212,111109
111169,4,3,13.0330801,80.2301712,45224220493,16222,111169
111251,4,3,13.03316975,80.23026276,45224220493,16233,111251
111314,4,3,13.03316975,80.23026276,45224220493,16243,111314
111375,4,3,13.03324032,80.23033142,45224220493,16252,111375
111454,4,3,13.03324032,80.23033142,45224220493,16263,111454
111499,4,3,13.03324032,80.23033142,45224220493,16271,111499
111575,4,3,13.03324032,80.23033142,45224220493,16282,111575
111643,4,3,13.03324032,80.23033142,45224220493,16292,111643
111712,4,3,13.03324032,80.23033142,45224220493,16302,111712
111779,4,3,13.03324032,80.23033142,45224220493,16312,111779
111847,4,3,13.03324032,80.23033142,45224220493,16322,111847
111918,4,3,13.03341961,80.23047638,45224220493,16333,111918
111980,4,3,13.03341961,80.23047638,45224220493,16342,111980
112043,4,3,13.03341961,80.23047638,45224220493,16352,112043
112117,4,3,13.03341961,80.23047638,45224220493,16363,112117
112177,4,3,13.03341961,80.23047638,45224220493,16371,112177
112255,4,3,13.03339958,80.23034668,45224220493,16383,112255
112323,4,3,13.03341007,80.23021698,45224220493,16393,112323
112391,4,3,13.03341007,80.23021698,45224220493,16403,112391
112468,4,3,13.03341007,80.23021698,45224220493,16414,112468
112535,4,3,13.03341007,80.23021698,45224220493,16424,112535
112596,4,3,13.03341007,80.23021698,45224220493,16434,112596
112670,4,3,13.03341007,80.23021698,45224220493,16444,112670
112736,4,3,13.03341007,80.23030853,45224220493,16454,112736
112803,4,3,13.03341007,80.23030853,45224220493,16464,112803
112870,4,3,13.03341007,80.23030853,45224220493,16474,112870
112938,4,3,13.03341007,80.23030853,45224220493,16484,112938
113001,4,3,13.03341007,80.23030853,45224220493,16494,113001
113079,4,3,13.03339005,80.23033142,45224220493,16505,113079
113149,4,3,13.03339005,80.23033905,45224220493,16515,113149
113216,4,3,13.03339005,80.23033905,45224220493,16525,113216
113283,4,3,13.03339005,80.23033905,45224220493,16535,113283
113348,4,3,13.03339005,80.23033905,45224220493,16545,113348
113417,4,3,13.03339005,80.23033905,45224220493,16555,113417
113470,4,3,13.03339005,80.23033905,45224220493,16564,113470
113551,4,3,13.03339005,80.23033905,45224220493,16575,113551
113618,4,3,13.03339005,80.23033905,45224220493,16585,113618
113691,4,3,13.03339005,80.23033905,45224220493,16596,113691
113751,4,3,13.03339005,80.23033905,45224220493,16605,113751
113828,4,3,13.03339005,80.23033905,45224220493,16616,113828
113888,4,3,13.03339005,80.23033905,45224220493,16626,113888
113962,4,3,13.03339005,80.23033905,45224220493,16636,113962
114029,4,3,13.03339005,80.23033905,45224220493,16646,114029
114095,4,3,13.03339005,80.23033905,45224220493,16656,114095
114163,4,3,13.03339005,80.23033905,45224220493,16666,114163
114230,4,3,13.03339005,80.23033905,45224220493,16676,114230
114301,4,3,13.03339005,80.23033905,45224220493,16687,114301
114356,4,3,13.03339005,80.23033905,45224220493,16696,114356
114438,4,3,13.03339005,80.23033905,45224220493,16707,114438
114505,4,3,13.03339005,80.23033905,45224220493,16717,114505
114573,4,3,13.03339005,80.23033905,45224220493,16727,114573
114641,4,3,13.03339005,80.23033905,45224220493,16737,114641
114709,4,3,13.03339005,80.23033905,45224220493,16747,114709
114773,4,3,13.03339005,80.23033905,45224220493,16757,114773
114844,4,3,13.03339005,80.23033905,45224220493,16767,114844
114917,4,3,13.03339005,80.23033905,45224220493,16778,114917
114980,4,3,13.03339005,80.23033905,45224220493,16788,114980
115044,4,3,13.03339005,80.23033905,45224220493,16798,115044
115116,4,3,13.03339005,80.23033905,45224220493,16808,115116
115182,4,3,13.03339005,80.23033905,45224220493,16818,115182
115249,4,3,13.03339005,80.23033905,45224220493,16828,115249
115315,4,3,13.03339005,80.23033905,45224220493,16838,115315
115388,4,3,13.03339005,80.23033905,45224220493,16848,115388
115447,4,3,13.03339005,80.23033905,45224220493,16858,115447
115524,4,3,13.03339005,80.23033905,45224220493,16868,115524
115592,4,3,13.03339005,80.23033905,45224220493,16879,115592
115660,4,3,13.03339005,80.23033905,45224220493,16889,115660
115730,4,3,13.03339005,80.23033905,45224220493,16899,115730
115796,4,3,13.03339005,80.23033905,45224220493,16909,115796
115858,4,3,13.03339005,80.23033905,45224220493,16919,115858
115931,4,3,13.03339005,80.23033905,45224220493,16929,115931
116001,4,3,13.03339005,80.23033905,45224220493,16939,116001
116002,4,3,13.03339005,80.23033905,45224220493,16940,116002
116450,4,3,13.03339005,80.23033905,45224220493,17006,116450
116859,4,3,13.03339005,80.23033905,45224220493,17067,116859
116929,4,3,13.03339005,80.23033905,45224220493,17078,116929
116998,4,3,13.03339005,80.23033905,45224220493,17088,116998
117067,4,3,13.03339005,80.23033905,45224220493,17098,117067
117136,4,3,13.03339005,80.23033905,45224220493,17108,117136
117205,4,3,13.03339005,80.23033905,45224220493,17118,117205
117274,4,3,13.03339005,80.23033905,45224220493,17128,117274
117343,4,3,13.03339005,80.23033905,45224220493,17138,117343
117344,4,3,13.03339005,80.23033905,45224220493,17138,117344
117498,4,3,13.03339005,80.23033905,45224220493,17161,117498
117910,4,3,13.03339005,80.23033905,45224220493,17222,117910
117979,4,3,13.03339005,80.23033905,45224220493,17232,117979
118049,4,3,13.03339005,80.23033905,45224220493,17242,118049
118119,4,3,13.03339005,80.23033905,45224220493,17252,118119
118189,4,3,13.03339005,80.23033905,45224220493,17262,118189
118259,4,3,13.03339005,80.23033905,45224220493,17272,118259
118380,4,3,13.03339005,80.23033905,45224220493,17290,118380
118794,4,3,13.03339005,80.23033905,45224220493,17350,118794
118864,4,3,13.03339005,80.23033905,45224220493,17360,118864
118933,4,3,13.03339005,80.23033905,45224220493,17370,118933
119006,4,3,13.03339005,80.23033905,45224220493,17381,119006
119074,4,3,13.03339005,80.23033905,45224220493,17391,119074
119142,4,3,13.03339005,80.23033905,45224220493,17401,119142
119263,4,3,13.03339005,80.23033905,45224220493,17418,119263
119691,4,3,13.03339005,80.23033905,45224220493,17482,119691
119871,4,3,13.03339005,80.23033905,45224220493,17508,119871
119937,4,3,13.03339005,80.23033905,45224220493,17518,119937
120006,4,3,13.03339005,80.23033905,45224220493,17528,120006
263980,4,3,0,0,45224220493,38274,263980
264328,4,3,13.03332996,80.23040771,45224220493,38324,264328
264933,4,3,13.03355026,80.22981262,45224220493,38413,264933
265007,4,3,13.03388023,80.2297287,45224220493,38426,265007
265077,4,3,13.03405952,80.22987366,45224220493,38436,265077
265151,4,3,13.03411007,80.22985077,45224220493,38447,265151
265221,4,3,13.03411007,80.22985077,45224220493,38457,265221
265292,4,3,13.03411007,80.22985077,45224220493,38467,265292
265293,4,3,13.03411007,80.22985077,45224220493,38467,265293
265363,4,3,13.03411007,80.22985077,45224220493,38477,265363
265434,4,3,13.03411007,80.22985077,45224220493,38487,265434
265503,4,3,13.03411007,80.22985077,45224220493,38497,265503
265572,4,3,13.03411007,80.22985077,45224220493,38507,265572
265642,4,3,13.03411007,80.22985077,45224220493,38517,265642
265712,4,3,13.03411007,80.22985077,45224220493,38527,265712
265741,4,3,13.03411007,80.22985077,45224220493,38531,265741
265858,4,3,13.03411007,80.22985077,45224220493,38549,265858
265935,4,3,13.03411007,80.22985077,45224220493,38560,265935
