No,day,month,latitude,longitude,bus_id,seconds,No
398980,1,3,13.04971027,80.21221161,40205120012,55392,398980
398981,1,3,13.04971027,80.21221161,40205120012,55392,398981
398982,1,3,13.04971027,80.21221161,40205120012,55392,398982
399212,1,3,13.04915047,80.21215057,40205120012,55423,399212
399213,1,3,13.04915047,80.21215057,40205120012,55423,399213
399214,1,3,13.04915047,80.21215057,40205120012,55423,399214
399438,1,3,13.04738045,80.2122879,40205120012,55451,399438
399439,1,3,13.04738045,80.2122879,40205120012,55451,399439
399440,1,3,13.04738045,80.2122879,40205120012,55451,399440
399661,1,3,13.04504013,80.21234894,40205120012,55481,399661
399662,1,3,13.04504013,80.21234894,40205120012,55481,399662
399814,1,3,13.04500008,80.21237946,40205120012,55503,399814
399897,1,3,13.04477024,80.21238708,40205120012,55514,399897
399971,1,3,13.04452038,80.2124176,40205120012,55524,399971
400044,1,3,13.04444981,80.21240997,40205120012,55534,400044
400119,1,3,13.04444981,80.21240997,40205120012,55544,400119
400195,1,3,13.04444981,80.21240997,40205120012,55554,400195
400268,1,3,13.04432964,80.21240234,40205120012,55564,400268
400340,1,3,13.04421043,80.21208954,40205120012,55574,400340
400413,1,3,13.04417992,80.21140289,40205120012,55584,400413
400492,1,3,13.04415989,80.21050262,40205120012,55594,400492
400571,1,3,13.0441103,80.20960999,40205120012,55605,400571
400643,1,3,13.04407978,80.2091217,40205120012,55615,400643
400716,1,3,13.04407978,80.20908356,40205120012,55625,400716
400797,1,3,13.04405975,80.20896149,40205120012,55635,400797
400869,1,3,13.04405975,80.20886993,40205120012,55645,400869
400942,1,3,13.04409027,80.20870209,40205120012,55655,400942
401015,1,3,13.04405022,80.20806885,40205120012,55665,401015
401086,1,3,13.0437603,80.20722961,40205120012,55675,401086
401159,1,3,13.04331017,80.20658875,40205120012,55685,401159
401232,1,3,13.04281998,80.20590973,40205120012,55694,401232
401328,1,3,13.04199028,80.20532227,40205120012,55707,401328
401397,1,3,13.04111958,80.20514679,40205120012,55717,401397
401473,1,3,13.04074001,80.20509338,40205120012,55727,401473
401547,1,3,13.04059982,80.20507813,40205120012,55737,401547
401616,1,3,13.04008961,80.20501709,40205120012,55747,401616
401709,1,3,13.03956985,80.20497131,40205120012,55757,401709
401779,1,3,13.03915977,80.20491791,40205120012,55767,401779
401854,1,3,13.03845978,80.20481873,40205120012,55777,401854
401925,1,3,13.03812981,80.20455933,40205120012,55787,401925
402003,1,3,13.03824043,80.20391083,40205120012,55797,402003
402077,1,3,13.03835964,80.20288086,40205120012,55808,402077
402155,1,3,13.0384798,80.20207214,40205120012,55818,402155
402227,1,3,13.03857994,80.20152283,40205120012,55828,402227
402299,1,3,13.0387001,80.20091248,40205120012,55838,402299
402374,1,3,13.03882027,80.20028687,40205120012,55848,402374
402449,1,3,13.03890038,80.19953156,40205120012,55858,402449
402520,1,3,13.03894997,80.19895935,40205120012,55868,402520
402593,1,3,13.0390501,80.19824219,40205120012,55878,402593
402666,1,3,13.03915024,80.1975174,40205120012,55888,402666
402740,1,3,13.03925991,80.19687653,40205120012,55898,402740
402816,1,3,13.0392704,80.19676208,40205120012,55909,402816
402888,1,3,13.03931046,80.1964798,40205120012,55919,402888
402963,1,3,13.0394001,80.1960907,40205120012,55929,402963
403034,1,3,13.03948975,80.19534302,40205120012,55939,403034
403107,1,3,13.03964043,80.19441223,40205120012,55949,403107
403182,1,3,13.0397501,80.19348145,40205120012,55959,403182
403258,1,3,13.0397501,80.19316101,40205120012,55969,403258
403330,1,3,13.0395298,80.19303131,40205120012,55979,403330
403401,1,3,13.03901005,80.19293213,40205120012,55989,403401
403473,1,3,13.03866959,80.19286346,40205120012,55999,403473
403546,1,3,13.03864956,80.19286346,40205120012,56009,403546
403620,1,3,13.03853989,80.19284058,40205120012,56020,403620
403689,1,3,13.03829956,80.19278717,40205120012,56030,403689
403760,1,3,13.03792953,80.19283295,40205120012,56040,403760
403832,1,3,13.03759003,80.19329834,40205120012,56050,403832
403911,1,3,13.03746986,80.19413757,40205120012,56060,403911
403980,1,3,13.0373497,80.19499207,40205120012,56070,403980
404050,1,3,13.03722954,80.19566345,40205120012,56079,404050
404133,1,3,13.03719997,80.19586182,40205120012,56090,404133
404199,1,3,13.03721046,80.19596863,40205120012,56100,404199
404285,1,3,13.03711987,80.19635773,40205120012,56112,404285
404362,1,3,13.03701019,80.19705963,40205120012,56122,404362
404436,1,3,13.03687954,80.19795227,40205120012,56132,404436
404524,1,3,13.03678989,80.1986084,40205120012,56142,404524
404589,1,3,13.03678989,80.19867706,40205120012,56150,404589
404672,1,3,13.03676033,80.19886017,40205120012,56162,404672
404746,1,3,13.03670025,80.19927216,40205120012,56172,404746
404810,1,3,13.03660965,80.19982147,40205120012,56180,404810
404895,1,3,13.03645039,80.20085144,40205120012,56192,404895
404968,1,3,13.03635979,80.20156097,40205120012,56202,404968
405047,1,3,13.03635025,80.20175934,40205120012,56213,405047
405118,1,3,13.03629971,80.20178223,40205120012,56223,405118
405193,1,3,13.03627014,80.20214081,40205120012,56233,405193
405264,1,3,13.03619957,80.20282745,40205120012,56243,405264
405338,1,3,13.03604984,80.20365143,40205120012,56253,405338
405413,1,3,13.03598976,80.20427704,40205120012,56263,405413
405485,1,3,13.03588009,80.20487213,40205120012,56273,405485
405557,1,3,13.03577042,80.20565033,40205120012,56283,405557
405630,1,3,13.03573036,80.20588684,40205120012,56293,405630
405704,1,3,13.03569984,80.20606232,40205120012,56303,405704
405779,1,3,13.03561974,80.20652771,40205120012,56314,405779
405854,1,3,13.0355196,80.2072525,40205120012,56324,405854
405929,1,3,13.03542995,80.20799255,40205120012,56334,405929
406001,1,3,13.03540039,80.20835876,40205120012,56344,406001
406073,1,3,13.03540039,80.20835876,40205120012,56354,406073
406144,1,3,13.03532982,80.20874023,40205120012,56364,406144
406218,1,3,13.03522015,80.20939636,40205120012,56374,406218
406293,1,3,13.03512955,80.21008301,40205120012,56384,406293
406367,1,3,13.03493977,80.21067047,40205120012,56394,406367
406442,1,3,13.03483009,80.21138763,40205120012,56404,406442
406519,1,3,13.03460979,80.21209717,40205120012,56415,406519
406608,1,3,13.03409004,80.21204376,40205120012,56425,406608
406682,1,3,13.03339958,80.21199036,40205120012,56435,406682
406753,1,3,13.03269005,80.21190643,40205120012,56445,406753
406830,1,3,13.03248978,80.2118988,40205120012,56455,406830
406899,1,3,13.03248978,80.2118988,40205120012,56465,406899
406973,1,3,13.03219986,80.21183777,40205120012,56475,406973
407043,1,3,13.03184032,80.2116394,40205120012,56484,407043
407123,1,3,13.03192043,80.21096039,40205120012,56495,407123
407195,1,3,13.03203964,80.21027374,40205120012,56505,407195
407273,1,3,13.03205013,80.20970917,40205120012,56516,407273
407347,1,3,13.03153992,80.20954132,40205120012,56526,407347
407419,1,3,13.03081989,80.20935822,40205120012,56536,407419
407492,1,3,13.03054047,80.20926666,40205120012,56546,407492
407564,1,3,13.03054047,80.20926666,40205120012,56556,407564
407638,1,3,13.03054047,80.20926666,40205120012,56566,407638
407713,1,3,13.03038025,80.20924377,40205120012,56576,407713
407785,1,3,13.03009987,80.20924377,40205120012,56586,407785
407858,1,3,13.03003979,80.20951843,40205120012,56596,407858
407932,1,3,13.03003979,80.20951843,40205120012,56606,407932
408009,1,3,13.03009987,80.20980072,40205120012,56617,408009
408081,1,3,13.03048992,80.20989227,40205120012,56627,408081
408157,1,3,13.03081989,80.20999908,40205120012,56637,408157
408230,1,3,13.03092957,80.21009064,40205120012,56647,408230
408302,1,3,13.03092003,80.2104187,40205120012,56657,408302
408377,1,3,13.03085041,80.21099091,40205120012,56667,408377
408450,1,3,13.03083038,80.21125793,40205120012,56677,408450
408527,1,3,13.0307703,80.21163177,40205120012,56687,408527
408602,1,3,13.03071976,80.21192932,40205120012,56697,408602
408683,1,3,13.03065968,80.2124176,40205120012,56705,408683
408769,1,3,13.03055,80.21331787,40205120012,56718,408769
408844,1,3,13.03050995,80.21367645,40205120012,56728,408844
408918,1,3,13.03042984,80.21405792,40205120012,56738,408918
408993,1,3,13.03034973,80.21466064,40205120012,56748,408993
409064,1,3,13.03034973,80.21475983,40205120012,56758,409064
409138,1,3,13.03034019,80.21482849,40205120012,56768,409138
409209,1,3,13.03032017,80.21515656,40205120012,56778,409209
409283,1,3,13.03034973,80.21581268,40205120012,56788,409283
409360,1,3,13.0304203,80.21647644,40205120012,56798,409360
409433,1,3,13.03065968,80.21681213,40205120012,56808,409433
