latitude,longitude,Time_Start,Time_Stop,TimeTaken
12.9877700806,80.2513580322,23140,23192,52
12.9872903824,80.2594985962,23313,23373,60
12.9866600037,80.2590713501,24183,24233,50
12.9799499512,80.2527236938,24538,24579,41
12.9765501022,80.2212600708,25164,25265,101
12.9763202667,80.2216796875,25630,25681,51
12.9875802994,80.2514190674,26165,26206,41
12.987569809,80.2560501099,27773,27804,31
13.0345802307,80.2297668457,29756,29807,51
13.0342102051,80.2303085327,30717,30859,142
12.9872903824,80.2594985962,33312,33383,71
12.9821996689,80.2217025757,34823,34864,41
13.0351295471,80.2299728394,36188,36220,32
13.0345802307,80.2297210693,36238,36351,113
13.0343399048,80.2297592163,36361,36503,142
13.0341701508,80.229850769,36503,36644,141
12.9763698578,80.2217712402,38186,38217,31
12.9871902466,80.2595977783,38965,39056,91
12.9868402481,80.2595825195,39056,39157,101
12.9875001907,80.2563095093,40281,40372,91
12.9799003601,80.2527236938,40553,40614,61
13.0292901993,80.2308197021,42485,42535,50
13.0339899063,80.2304763794,42636,42707,71
13.0346097946,80.2298431396,42767,42848,81
13.0300397873,80.230796814,43566,43617,51
13.0147695541,80.2260971069,44032,44080,48
12.9877004623,80.2513809204,45724,45835,111
12.987159729,80.259262085,45986,46097,111
12.9871501923,80.2596511841,46128,46178,50
12.9867801666,80.2595367432,46188,46239,51
12.9865598679,80.259147644,46259,46299,40
12.9868297577,80.2590866089,46309,46350,41
12.9870796204,80.2591629028,46360,46441,81
12.9974498749,80.2161178589,47917,47958,41
13.0078496933,80.2130966187,48170,48210,40
13.0337696075,80.2304534912,48858,48910,52
13.0345697403,80.2302932739,48971,49011,40
13.0150899887,80.2259063721,49648,49679,31
13.0142498016,80.2261734009,49709,49749,40
13.0146903992,80.2249908447,50233,50264,31
13.0230703354,80.2274398804,50538,50578,40
13.0226202011,80.2270126343,50599,50750,151
12.987279892,80.251449585,52440,52531,91
12.9866504669,80.2594528198,52763,52844,81
12.9868297577,80.2590332031,52884,53035,151
13.0292797089,80.2307662964,55011,55052,41
13.0334701538,80.2304611206,55163,55254,91
13.0349302292,80.2297821045,55304,55375,71
13.0346498489,80.2298126221,55385,55435,50
13.0344295502,80.2297668457,55446,55486,40
13.0342302322,80.2300109863,55506,55617,111
13.0268201828,80.2329330444,56073,56144,71
13.0226402283,80.2269973755,56366,56436,70
13.0083198547,80.2134017944,56925,56966,41
12.9949502945,80.2171325684,57238,57278,40
12.9872598648,80.2595291138,58349,58382,33
12.9865703583,80.259147644,60321,60444,123
12.976269722,80.2216873169,61586,61758,172
12.9872198105,80.2514801025,62315,62416,101
12.9877595901,80.2551269531,62508,62650,142
12.986989975,80.259552002,62791,62854,63
12.9868001938,80.2591323853,63288,63399,111
12.9878501892,80.2520980835,64491,64653,162
13.0077104568,80.2129211426,66009,66040,31
13.0293302536,80.2307815552,66669,66709,40
13.0339002609,80.23046875,66800,66841,41
13.034529686,80.2303390503,66861,66901,40
13.0349998474,80.2298202515,66921,66972,51
13.0348701477,80.2297821045,66982,67083,101
13.0345096588,80.2297363281,67083,67214,131
13.0341701508,80.2299118042,67214,67335,121
13.0341701508,80.2301101685,67345,67385,40
13.0299196243,80.2307891846,67516,67549,33
13.0229997635,80.2273635864,67831,67862,31
13.0084400177,80.213470459,68336,68417,81
13.0080404282,80.2132415771,68427,68479,52
13.00522995,80.2126464844,68550,68610,60
12.9842996597,80.2228088379,69219,69250,31
12.9836797714,80.2224731445,69280,69340,60
12.9870901108,80.251411438,70092,70156,64
12.9877300262,80.2552566528,70238,70398,160
12.9867296219,80.2590408325,70531,70642,111
12.9873199463,80.2583618164,70683,70774,91
12.9875602722,80.256362915,70844,70885,41
12.9878196716,80.2528991699,70997,71129,132
12.9878101349,80.2519073486,71160,71230,70
13.0077495575,80.2129516602,72666,72706,40
13.0339002609,80.2303237915,73325,73396,71
13.0342102051,80.2297363281,73445,73578,133
13.034119606,80.2303695679,73598,73638,40
13.0293903351,80.2308578491,73711,73751,40
12.9834403992,80.2222671509,74917,74958,41
12.9872903824,80.251449585,75687,75747,60
12.9872198105,80.2595901489,75929,75980,51
12.9878797531,80.2529830933,76678,76718,40
12.9878997803,80.252166748,76748,76900,152
13.0149698257,80.2258987427,78572,78632,60
13.0142002106,80.2255401611,78914,78987,73
12.9977197647,80.2563018799,17352,17423,71
12.9975004196,80.2559814453,17433,17544,111
12.8747596741,80.2099227905,19580,19702,122
12.9014596939,80.2279205322,20398,20459,61
13.0097103119,80.2112121582,23313,23372,59
12.8996200562,80.2279586792,27155,27206,51
12.8767499924,80.2245025635,28860,28920,60
12.8922996521,80.2273330688,29182,29233,51
12.9008197784,80.2278671265,29354,29404,50
13.0143899918,80.2262573242,34063,34114,51
12.9828100204,80.2218933105,34799,34850,51
12.9799699783,80.2525787354,35515,35596,81
12.874540329,80.2098693848,37985,38126,141
12.874540329,80.2098693848,38126,38197,71
12.9006900787,80.2278213501,40312,40393,81
12.9867296219,80.2229614258,42430,42480,50
