No,day,month,latitude,longitude,bus_id,seconds,No
356473,6,3,13.05035973,80.20594025,45214920406,50516,356473
356474,6,3,13.05035973,80.20594025,45214920406,50516,356474
356475,6,3,13.05035973,80.20594025,45214920406,50516,356475
356476,6,3,13.05035973,80.20594025,45214920406,50516,356476
356477,6,3,13.05035973,80.20594025,45214920406,50516,356477
356478,6,3,13.05035973,80.20594025,45214920406,50516,356478
356479,6,3,13.05035973,80.20594025,45214920406,50516,356479
356480,6,3,13.05035973,80.20594025,45214920406,50516,356480
356481,6,3,13.05035973,80.20594025,45214920406,50516,356481
356482,6,3,13.05035973,80.20594025,45214920406,50516,356482
356483,6,3,13.05035973,80.20594025,45214920406,50516,356483
356484,6,3,13.05035973,80.20594025,45214920406,50516,356484
356485,6,3,13.05035973,80.20594025,45214920406,50516,356485
356486,6,3,13.05035973,80.20594025,45214920406,50516,356486
356487,6,3,13.05035973,80.20594025,45214920406,50516,356487
356488,6,3,13.05035973,80.20594025,45214920406,50516,356488
356489,6,3,13.05035973,80.20594025,45214920406,50516,356489
356490,6,3,13.05035973,80.20594025,45214920406,50516,356490
358370,6,3,13.05035973,80.20594025,45214920406,50775,358370
358443,6,3,13.05064964,80.20625305,45214920406,50785,358443
358520,6,3,13.05066967,80.20628357,45214920406,50795,358520
358594,6,3,13.05066967,80.20628357,45214920406,50805,358594
358660,6,3,13.05070972,80.20648956,45214920406,50815,358660
358739,6,3,13.05070972,80.20668793,45214920406,50825,358739
358753,6,3,13.05072021,80.20674896,45214920406,50828,358753
358763,6,3,13.05072021,80.20674896,45214920406,50828,358763
358764,6,3,13.05072021,80.20674896,45214920406,50828,358764
358765,6,3,13.05072021,80.20674896,45214920406,50828,358765
358766,6,3,13.05072021,80.20674896,45214920406,50828,358766
358767,6,3,13.05072021,80.20674896,45214920406,50828,358767
358768,6,3,13.05072021,80.20674896,45214920406,50828,358768
358769,6,3,13.05072021,80.20674896,45214920406,50828,358769
358770,6,3,13.05072021,80.20674896,45214920406,50828,358770
358771,6,3,13.05072021,80.20674896,45214920406,50828,358771
358772,6,3,13.05072021,80.20674896,45214920406,50828,358772
358773,6,3,13.05072021,80.20674896,45214920406,50828,358773
358774,6,3,13.05072021,80.20674896,45214920406,50828,358774
358775,6,3,13.05072021,80.20674896,45214920406,50828,358775
358776,6,3,13.05072021,80.20674896,45214920406,50828,358776
358777,6,3,13.05072021,80.20674896,45214920406,50828,358777
358778,6,3,13.05072021,80.20674896,45214920406,50828,358778
358780,6,3,13.05072021,80.20674896,45214920406,50828,358780
358781,6,3,13.05072021,80.20674896,45214920406,50828,358781
358782,6,3,13.05072021,80.20674896,45214920406,50828,358782
358783,6,3,13.05072021,80.20674896,45214920406,50828,358783
358784,6,3,13.05072021,80.20674896,45214920406,50828,358784
358785,6,3,13.05072021,80.20674896,45214920406,50828,358785
358786,6,3,13.05072021,80.20674896,45214920406,50828,358786
358787,6,3,13.05072021,80.20674896,45214920406,50828,358787
360668,6,3,13.05132008,80.20719147,45214920406,51088,360668
