No,day,month,latitude,longitude,bus_id,seconds,No
67,03,03,13.01453971862793,80.22575378417969,40205020800,9,67
144,03,03,13.01453971862793,80.22575378417969,40205020800,19,144
211,03,03,13.01453971862793,80.22575378417969,40205020800,29,211
286,03,03,13.01453971862793,80.22575378417969,40205020800,39,286
386,03,03,13.01453971862793,80.22575378417969,40205020800,52,386
456,03,03,13.01453971862793,80.22575378417969,40205020800,62,456
521,03,03,13.01453971862793,80.22575378417969,40205020800,72,521
589,03,03,13.01453971862793,80.22575378417969,40205020800,82,589
659,03,03,13.01453971862793,80.22575378417969,40205020800,92,659
728,03,03,13.01453971862793,80.22575378417969,40205020800,102,728
799,03,03,13.01453971862793,80.22575378417969,40205020800,112,799
872,03,03,13.01453971862793,80.22575378417969,40205020800,122,872
938,03,03,13.01453971862793,80.22575378417969,40205020800,132,938
991,03,03,13.01453971862793,80.22575378417969,40205020800,139,991
1094,03,03,13.01453971862793,80.22575378417969,40205020800,153,1094
1165,03,03,13.01453971862793,80.22575378417969,40205020800,163,1165
1237,03,03,13.01453971862793,80.22575378417969,40205020800,173,1237
1305,03,03,13.01453971862793,80.22575378417969,40205020800,183,1305
1375,03,03,13.01453971862793,80.22575378417969,40205020800,193,1375
1448,03,03,13.01453971862793,80.22575378417969,40205020800,203,1448
1522,03,03,13.01453971862793,80.22575378417969,40205020800,213,1522
1588,03,03,13.01453971862793,80.22575378417969,40205020800,223,1588
1668,03,03,13.01453971862793,80.22575378417969,40205020800,233,1668
1716,03,03,13.01453971862793,80.22575378417969,40205020800,242,1716
1809,03,03,13.01453971862793,80.22575378417969,40205020800,254,1809
1883,03,03,13.01453971862793,80.22575378417969,40205020800,264,1883
1955,03,03,13.01453971862793,80.22575378417969,40205020800,274,1955
2023,03,03,13.01453971862793,80.22575378417969,40205020800,284,2023
2093,03,03,13.01453971862793,80.22575378417969,40205020800,294,2093
2159,03,03,13.01453971862793,80.22575378417969,40205020800,314,2159
2235,03,03,13.01453971862793,80.22575378417969,40205020800,324,2235
2302,03,03,13.01453971862793,80.22575378417969,40205020800,334,2302
2388,03,03,13.01453971862793,80.22575378417969,40205020800,345,2388
2458,03,03,13.01453971862793,80.22575378417969,40205020800,355,2458
2526,03,03,13.01453971862793,80.22575378417969,40205020800,365,2526
2596,03,03,13.01453971862793,80.22575378417969,40205020800,375,2596
2668,03,03,13.01453971862793,80.22575378417969,40205020800,385,2668
2738,03,03,13.01453971862793,80.22575378417969,40205020800,395,2738
2813,03,03,13.01453971862793,80.22575378417969,40205020800,405,2813
2890,03,03,13.01453971862793,80.22575378417969,40205020800,415,2890
2960,03,03,13.01453971862793,80.22575378417969,40205020800,425,2960
3032,03,03,13.01453971862793,80.22575378417969,40205020800,435,3032
3099,03,03,13.01453971862793,80.22575378417969,40205020800,445,3099
3178,03,03,13.01453971862793,80.22575378417969,40205020800,456,3178
3246,03,03,13.01453971862793,80.22575378417969,40205020800,466,3246
3322,03,03,13.01453971862793,80.22575378417969,40205020800,476,3322
3390,03,03,13.01453971862793,80.22575378417969,40205020800,486,3390
3458,03,03,13.01453971862793,80.22575378417969,40205020800,496,3458
3533,03,03,13.01453971862793,80.22575378417969,40205020800,506,3533
3597,03,03,13.01453971862793,80.22575378417969,40205020800,516,3597
3673,03,03,13.01453971862793,80.22575378417969,40205020800,526,3673
3745,03,03,13.01453971862793,80.22575378417969,40205020800,536,3745
3814,03,03,13.01453971862793,80.22575378417969,40205020800,546,3814
3890,03,03,13.01453971862793,80.22575378417969,40205020800,557,3890
3966,03,03,13.01453971862793,80.22575378417969,40205020800,567,3966
4035,03,03,13.01453971862793,80.22575378417969,40205020800,577,4035
4106,03,03,13.01453971862793,80.22575378417969,40205020800,587,4106
4174,03,03,13.01453971862793,80.22575378417969,40205020800,597,4174
4249,03,03,13.01453971862793,80.22575378417969,40205020800,607,4249
4322,03,03,13.01453971862793,80.22575378417969,40205020800,617,4322
4389,03,03,13.01453971862793,80.22575378417969,40205020800,627,4389
4464,03,03,13.01453971862793,80.22575378417969,40205020800,637,4464
4533,03,03,13.01453971862793,80.22575378417969,40205020800,647,4533
4622,03,03,13.01453971862793,80.22575378417969,40205020800,658,4622
4688,03,03,13.01453971862793,80.22575378417969,40205020800,668,4688
4759,03,03,13.01453971862793,80.22575378417969,40205020800,678,4759
4831,03,03,13.01453971862793,80.22575378417969,40205020800,688,4831
4909,03,03,13.01453971862793,80.22575378417969,40205020800,698,4909
4974,03,03,13.01453971862793,80.22575378417969,40205020800,708,4974
5051,03,03,13.01453971862793,80.22575378417969,40205020800,718,5051
5113,03,03,13.01453971862793,80.22575378417969,40205020800,728,5113
5181,03,03,13.01453971862793,80.22575378417969,40205020800,738,5181
5252,03,03,13.01453971862793,80.22575378417969,40205020800,748,5252
5335,03,03,13.01453971862793,80.22575378417969,40205020800,759,5335
5406,03,03,13.01453971862793,80.22575378417969,40205020800,769,5406
5479,03,03,13.01453971862793,80.22575378417969,40205020800,779,5479
5556,03,03,13.01453971862793,80.22575378417969,40205020800,789,5556
5629,03,03,13.01453971862793,80.22575378417969,40205020800,800,5629
5688,03,03,13.01453971862793,80.22575378417969,40205020800,809,5688
5769,03,03,13.01453971862793,80.22575378417969,40205020800,820,5769
5829,03,03,13.01453971862793,80.22575378417969,40205020800,829,5829
5910,03,03,13.01453971862793,80.22575378417969,40205020800,839,5910
5968,03,03,13.01453971862793,80.22575378417969,40205020800,849,5968
6037,03,03,13.01453971862793,80.22575378417969,40205020800,859,6037
