No,day,month,latitude,longitude,bus_id,seconds,No
52,07,03,12.988180160522461,80.22392272949219,45214920566,6,52
121,07,03,12.988180160522461,80.22392272949219,45214920566,16,121
198,07,03,12.988180160522461,80.22392272949219,45214920566,26,198
269,07,03,12.988180160522461,80.22392272949219,45214920566,36,269
338,07,03,12.988180160522461,80.22392272949219,45214920566,46,338
411,07,03,12.988180160522461,80.22392272949219,45214920566,56,411
483,07,03,12.988180160522461,80.22392272949219,45214920566,67,483
554,07,03,12.988180160522461,80.22392272949219,45214920566,77,554
627,07,03,12.988180160522461,80.22392272949219,45214920566,87,627
703,07,03,12.988180160522461,80.22392272949219,45214920566,97,703
771,07,03,12.988180160522461,80.22392272949219,45214920566,107,771
842,07,03,12.988180160522461,80.22392272949219,45214920566,117,842
914,07,03,12.988180160522461,80.22392272949219,45214920566,127,914
983,07,03,12.988180160522461,80.22392272949219,45214920566,137,983
1057,07,03,12.988180160522461,80.22392272949219,45214920566,147,1057
1130,07,03,12.988180160522461,80.22392272949219,45214920566,157,1130
1205,07,03,12.988180160522461,80.22392272949219,45214920566,168,1205
1280,07,03,12.988180160522461,80.22392272949219,45214920566,178,1280
1353,07,03,12.988180160522461,80.22392272949219,45214920566,188,1353
1445,07,03,12.988180160522461,80.22392272949219,45214920566,198,1445
1520,07,03,12.988180160522461,80.22392272949219,45214920566,208,1520
1593,07,03,12.988180160522461,80.22392272949219,45214920566,218,1593
1661,07,03,12.988180160522461,80.22392272949219,45214920566,228,1661
1735,07,03,12.988180160522461,80.22392272949219,45214920566,238,1735
1808,07,03,12.988180160522461,80.22392272949219,45214920566,248,1808
1880,07,03,12.988180160522461,80.22392272949219,45214920566,258,1880
1954,07,03,12.988180160522461,80.22392272949219,45214920566,269,1954
2027,07,03,12.988180160522461,80.22392272949219,45214920566,279,2027
2099,07,03,12.988180160522461,80.22392272949219,45214920566,289,2099
2171,07,03,12.988180160522461,80.22392272949219,45214920566,299,2171
2243,07,03,12.988180160522461,80.22392272949219,45214920566,309,2243
2314,07,03,12.988180160522461,80.22392272949219,45214920566,319,2314
2370,07,03,12.988180160522461,80.22392272949219,45214920566,349,2370
2445,07,03,12.988180160522461,80.22392272949219,45214920566,359,2445
2522,07,03,12.988180160522461,80.22392272949219,45214920566,370,2522
2595,07,03,12.988180160522461,80.22392272949219,45214920566,380,2595
2667,07,03,12.988180160522461,80.22392272949219,45214920566,390,2667
2740,07,03,12.988180160522461,80.22392272949219,45214920566,400,2740
2810,07,03,12.988180160522461,80.22392272949219,45214920566,410,2810
2883,07,03,12.988180160522461,80.22392272949219,45214920566,420,2883
2956,07,03,12.988180160522461,80.22392272949219,45214920566,430,2956
3024,07,03,12.988180160522461,80.22392272949219,45214920566,440,3024
3101,07,03,12.988180160522461,80.22392272949219,45214920566,450,3101
3171,07,03,12.988180160522461,80.22392272949219,45214920566,460,3171
3250,07,03,12.988180160522461,80.22392272949219,45214920566,471,3250
3322,07,03,12.988180160522461,80.22392272949219,45214920566,481,3322
3398,07,03,12.988180160522461,80.22392272949219,45214920566,491,3398
3470,07,03,12.988180160522461,80.22392272949219,45214920566,501,3470
3570,07,03,12.988180160522461,80.22392272949219,45214920566,511,3570
3643,07,03,12.988180160522461,80.22392272949219,45214920566,521,3643
3716,07,03,12.988180160522461,80.22392272949219,45214920566,531,3716
3786,07,03,12.988180160522461,80.22392272949219,45214920566,541,3786
3862,07,03,12.988180160522461,80.22392272949219,45214920566,551,3862
3934,07,03,12.988180160522461,80.22392272949219,45214920566,561,3934
4005,07,03,12.988180160522461,80.22392272949219,45214920566,571,4005
4083,07,03,12.988180160522461,80.22392272949219,45214920566,582,4083
4154,07,03,12.988180160522461,80.22392272949219,45214920566,592,4154
4225,07,03,12.988180160522461,80.22392272949219,45214920566,602,4225
4298,07,03,12.988180160522461,80.22392272949219,45214920566,612,4298
4371,07,03,12.988180160522461,80.22392272949219,45214920566,622,4371
4444,07,03,12.988180160522461,80.22392272949219,45214920566,632,4444
4516,07,03,12.988180160522461,80.22392272949219,45214920566,642,4516
4588,07,03,12.988180160522461,80.22392272949219,45214920566,652,4588
4661,07,03,12.988180160522461,80.22392272949219,45214920566,662,4661
4732,07,03,12.988180160522461,80.22392272949219,45214920566,672,4732
4807,07,03,12.988180160522461,80.22392272949219,45214920566,683,4807
4881,07,03,12.988180160522461,80.22392272949219,45214920566,693,4881
4950,07,03,12.988180160522461,80.22392272949219,45214920566,703,4950
5026,07,03,12.988180160522461,80.22392272949219,45214920566,713,5026
5098,07,03,12.988180160522461,80.22392272949219,45214920566,723,5098
5169,07,03,12.988180160522461,80.22392272949219,45214920566,733,5169
5242,07,03,12.988180160522461,80.22392272949219,45214920566,743,5242
5311,07,03,12.988180160522461,80.22392272949219,45214920566,753,5311
5385,07,03,12.988180160522461,80.22392272949219,45214920566,763,5385
5454,07,03,12.988180160522461,80.22392272949219,45214920566,773,5454
5532,07,03,12.988180160522461,80.22392272949219,45214920566,784,5532
5605,07,03,12.988180160522461,80.22392272949219,45214920566,794,5605
5678,07,03,12.988180160522461,80.22392272949219,45214920566,804,5678
5751,07,03,12.988180160522461,80.22392272949219,45214920566,814,5751
5850,07,03,12.988180160522461,80.22392272949219,45214920566,824,5850
5921,07,03,12.988180160522461,80.22392272949219,45214920566,834,5921
5993,07,03,12.988180160522461,80.22392272949219,45214920566,844,5993
6064,07,03,12.988180160522461,80.22392272949219,45214920566,854,6064
6136,07,03,12.988180160522461,80.22392272949219,45214920566,864,6136
